Code,Headings,Description
U64.3,sport,Orienteering and rogaining
U64.4,sport,River rafting
U64.5,sport,White -water rafting
U64.6,sport,Rock climbing
U64.7,sport,Bungy jumping
U64.8,sport,Other specified adventure sport
U64.9,sport,Unspecified adventure spor
U65.0,sport,Riding an all -terrain vehicle (ATV) - three or four wheeled
U65.1,sport,"Motorcycling - dirt bike racing, morocross"
U65.2,sport,"Motor car racing, rallying, speedway"
U65.3,sport,Go -carting
U65.8,sport,Other specified motor sport
U65.9,sport,Unspecified motor sport
U66.00,sport,"Cycling, BMX"
U66.01,sport,"Cycling, mountain"
U66.02,sport,"Cycling, road"
U66.03,sport,"Cycling, track and velodrome"
U66.08,sport,Other specified cycling
U66.09,sport,"Other unspecified cycling, recreational"
U66.1,sport,In-line skating and rollerblading
U66.2,sport,Roller skating
U66.3,sport,Skate boarding
U66.3   ,sport,"Activity, Skate boarding"
U66.40,sport,"Scooter riding, folding non-motored scooter"
U66.5,sport,Land sailing
U66.8,sport,Other specified wheeled non-motored sport
U66.9,sport,Unspecified wheeled non-motored sport
U67.0,sport,"Biathlon, winter"
U67.1,sport,Decathlon
U67.2,sport,Heptathlon
U67.3,sport,modern pentathlon
U67.40,sport,"Triathlon, cycling event"
U67.41,sport,"Triathlon, running event"
U67.42,sport,"Triathlon, swimming event"
U67.49,sport,"Triathlon, unspecified event"
U67.8,sport,Other specified multidiscipline sport
U67.9,sport,Unspecified multidiscipline sport
U68.1,sport,Aerobatics
U68.2,sport,Gliding
U68.3,sport,hang gliding
U68.3   ,sport,"Activity, Hang gliding"
U68.4,sport,Parachuting and sky diving
U68.4   ,sport,"Activity, Parachuting and sky diving"
U68.5,sport,Paragliding and parasailing
U68.6,sport,Hot air ballooning
U68.8,sport,Other specified aero spor
U68.9,sport,Unspecified aero sport
U69.0,sport,School physical education class
U69.8,sport,Other specified school-related recreational activity
U69.9,sport,Unspecified school-related recreational activity
U70.0,sport,"Athletic activities involving fitness equipment, not elsewhere classified"
U70.8,sport,Other specified sport and exercise activity
U71,sport,Unspecified sport and exercise activity
U72,other,"Leisure activity, not elsewhere classified - hobbies, play, exludes sports activities"
U73.00,income,"Agriculture, forestry and fishing"
U73.00  ,income,"While  working for income, agriculture, forestry and fishing; horticulture, hunting, logging, market gardening"
U73.01,income,"While  working for income, Mining"
U73.02  ,income,"While  working for income, manufacturing; food, machinery and equipment, printing and publishing, textiles"
U73.03,income,"While  working for income, Construction; installation trade services, site preparation"
U73.04,income,"While  working for income, Wholesale and retail trade; sale of motor vehicles"
U73.05  ,income,"Activity, while working for income, transport and storage; air land post"
U73.06  ,income,"Activity, while working for income, government administration and defence; policing, public servant, defence activities, economic and social policy of the community, foreign affiars"
U73.07,income,"While  working for income, Health services; dental, GP, hospitals, vet"
U73.08,income,"Other specified work for income; child care, communication, education, finance, property, public order and safety services"
U73.09,income,"While working for income, unspecified"
U73.1,other,"While engaged in other types of work not for income; caring for children, cleaning, cooking, gardening, household maintenance, education"
U73.2,other,"While resting, sleeping, eating or engaging in other vital activities - hygiene"
U73.8,other,Other specified activity
U73.9,Unspecified,Unspecified activity
